sample_id,a,b,case,torsion_order,torsion_invariants,generators
sample_000000156,3119,5208,A4,1,[],[]
sample_000000163,4489,-9843,A4,1,[],[]
sample_000000234,326,-1450,A4,1,[],[]
sample_000000269,-2246,-7548,A4,1,[],[]
sample_000000330,-7607,-1438,A4,1,[],[]
sample_000000469,4687,-622,A4,1,[],[]
sample_000000498,3942,-8256,A4,1,[],[]
sample_000000510,-5477,-4822,A4,1,[],[]
sample_000000725,4114,-8718,A4,1,[],[]
sample_000000814,1785,-5770,A4,1,[],[]
sample_000000926,-173,-5346,A4,1,[],[]
sample_000000929,-7318,9047,A4,1,[],[]
sample_000000989,182,-2014,A4,1,[],[]
sample_000001156,3187,-8880,A4,1,[],[]
sample_000001190,-3941,-4787,A4,1,[],[]
sample_000001253,4215,4829,A4,1,[],[]
sample_000001356,9922,3155,A4,1,[],[]
sample_000001503,7990,-4733,A4,1,[],[]
sample_000001549,3046,-1865,A4,1,[],[]
sample_000001899,2899,-2807,A4,1,[],[]
sample_000002426,8003,1215,A4,1,[],[]
sample_000002591,5024,-9125,A4,1,[],[]
sample_000002601,-5474,-5396,A4,1,[],[]
sample_000002661,8995,5797,A4,1,[],[]
sample_000002763,1713,41,A4,1,[],[]
sample_000002819,-8377,1341,A4,1,[],[]
sample_000002846,-7050,3624,A4,1,[],[]
sample_000003010,-6189,4060,A4,1,[],[]
sample_000003177,-6892,-3467,A4,1,[],[]
sample_000003280,-8066,-6295,A4,1,[],[]
sample_000003322,-6413,4510,A4,1,[],[]
sample_000003406,2141,7251,A4,1,[],[]
sample_000003486,2943,-162,A4,1,[],[]
sample_000003714,4426,-3227,A4,1,[],[]
sample_000003821,4306,8170,A4,1,[],[]
sample_000004040,-3986,-8292,A4,1,[],[]
sample_000004225,-5814,-917,A4,1,[],[]
sample_000004226,-2860,-9325,A4,1,[],[]
sample_000004264,-8138,-4450,A4,1,[],[]
sample_000004305,7408,-7586,A4,1,[],[]
sample_000004364,-7648,-3997,A4,1,[],[]
sample_000004389,7025,120,A4,1,[],[]
sample_000004405,2955,7631,A4,1,[],[]
sample_000004439,-9933,1389,A4,1,[],[]
sample_000004448,-7420,-5575,A4,1,[],[]
sample_000004789,4643,-2929,A4,1,[],[]
sample_000004868,-6594,-100,A4,1,[],[]
sample_000004927,3513,5915,A4,1,[],[]
sample_000004928,-6916,-761,A4,1,[],[]
sample_000005205,8318,7148,A4,1,[],[]
sample_000005273,346,1854,A4,1,[],[]
sample_000005496,6030,476,A4,1,[],[]
sample_000005603,-3424,-6513,A4,1,[],[]
sample_000005613,-4800,-9512,A4,1,[],[]
sample_000005908,-935,6295,A4,1,[],[]
sample_000005942,1976,3741,A4,1,[],[]
sample_000006101,9388,2525,A4,1,[],[]
sample_000006401,3559,3997,A4,1,[],[]
sample_000006731,-457,-5443,A4,1,[],[]
sample_000006780,-8148,-1033,A4,1,[],[]
sample_000006832,5556,-3223,A4,1,[],[]
sample_000006929,9030,-3139,A4,1,[],[]
sample_000006940,4024,9583,A4,1,[],[]
sample_000007089,-2343,-7006,A4,1,[],[]
sample_000007095,-3466,5856,A4,1,[],[]
sample_000007096,-1886,3965,A4,1,[],[]
sample_000007448,-9054,997,A4,1,[],[]
sample_000007491,8556,-373,A4,1,[],[]
sample_000007496,6637,-571,A4,1,[],[]
sample_000007627,3350,-9497,A4,1,[],[]
sample_000007640,-6468,-6471,A4,1,[],[]
sample_000007762,4044,8550,A4,1,[],[]
sample_000007882,9427,-2532,A4,1,[],[]
sample_000007942,-8753,-9908,A4,1,[],[]
sample_000007973,2107,48,A4,1,[],[]
sample_000008218,617,5098,A4,1,[],[]
sample_000008369,-8198,2372,A4,1,[],[]
sample_000008569,-5170,3898,A4,1,[],[]
sample_000008698,1839,-2652,A4,1,[],[]
sample_000008855,1579,-3601,A4,1,[],[]
sample_000009154,-5193,7997,A4,1,[],[]
sample_000009207,-2135,-7122,A4,1,[],[]
sample_000009378,5377,-912,A4,1,[],[]
sample_000009452,-9175,-1607,A4,1,[],[]
sample_000009597,-5618,7911,A4,1,[],[]
sample_000009746,-5913,-8457,A4,1,[],[]
sample_000009752,-383,8350,A4,1,[],[]
sample_000009766,-1060,2779,A4,1,[],[]
sample_000009947,1439,-2755,A4,1,[],[]
sample_000010073,4710,4194,A4,1,[],[]
sample_000010092,8192,4734,A4,1,[],[]
sample_000010135,2193,-3155,A4,1,[],[]
sample_000010187,-4916,8446,A4,1,[],[]
sample_000010299,-7479,-5184,A4,1,[],[]
sample_000010403,5748,3478,A4,1,[],[]
sample_000010453,5002,-7152,A4,1,[],[]
sample_000010631,-6221,-2006,A4,1,[],[]
sample_000010656,9763,-5480,A4,1,[],[]
sample_000010665,-7703,-8581,A4,1,[],[]
sample_000010666,-7469,-1163,A4,1,[],[]
sample_000010775,9700,-5754,A4,1,[],[]
sample_000010811,955,-6181,A4,1,[],[]
sample_000010846,2511,-5105,A4,1,[],[]
sample_000010866,-9319,4213,A4,1,[],[]
sample_000010983,-2276,-7880,A4,1,[],[]
sample_000010986,-3718,-7919,A4,1,[],[]
sample_000011010,5420,3550,A4,1,[],[]
sample_000011228,-1627,7463,A4,1,[],[]
sample_000011641,-9361,-6544,A4,1,[],[]
sample_000011835,-4,9922,A4,1,[],[]
sample_000011898,-412,1469,A4,1,[],[]
sample_000011909,-8957,-6465,A4,1,[],[]
sample_000011913,-7916,3953,A4,1,[],[]
sample_000011993,-6131,6806,A4,1,[],[]
sample_000012180,-2462,6168,A4,1,[],[]
sample_000012339,-9607,7645,A4,1,[],[]
sample_000012422,554,1664,A4,1,[],[]
sample_000012616,-8073,4800,A4,1,[],[]
sample_000012669,-2465,-1072,A4,1,[],[]
sample_000012740,6288,7146,A4,1,[],[]
sample_000012881,9213,-8154,A4,1,[],[]
sample_000013030,-5176,-6859,A4,1,[],[]
sample_000013042,9643,8052,A4,1,[],[]
sample_000013285,5597,6271,A4,1,[],[]
sample_000013650,6188,6494,A4,1,[],[]
sample_000013700,-8303,-9913,A4,1,[],[]
sample_000013807,9161,1810,A4,1,[],[]
sample_000014134,-5083,-111,A4,1,[],[]
sample_000014267,7754,-9226,A4,1,[],[]
sample_000014282,534,-5772,A4,1,[],[]
sample_000014362,6188,4112,A4,1,[],[]
sample_000014475,-9337,-549,A4,1,[],[]
sample_000014476,5380,-5772,A4,1,[],[]
sample_000014491,-8451,-2608,A4,1,[],[]
sample_000014543,8888,-2844,A4,1,[],[]
sample_000014678,-4061,1134,A4,1,[],[]
sample_000014719,7315,5761,A4,1,[],[]
sample_000014943,3031,-3557,A4,1,[],[]
sample_000015081,1019,-5675,A4,1,[],[]
sample_000015106,964,-8292,A4,1,[],[]
sample_000015177,-6068,9199,A4,1,[],[]
sample_000015252,-8477,3792,A4,1,[],[]
sample_000015404,-772,2282,A4,1,[],[]
sample_000015426,-9726,1159,A4,1,[],[]
sample_000015559,439,-3216,A4,1,[],[]
sample_000015616,458,-6976,A4,1,[],[]
sample_000015673,-6115,3389,A4,1,[],[]
sample_000015890,3677,-58,A4,1,[],[]
sample_000015912,1557,-3864,A4,1,[],[]
sample_000015954,4612,1776,A4,1,[],[]
sample_000016087,4674,5971,A4,1,[],[]
sample_000016389,6197,2498,A4,1,[],[]
sample_000016432,-302,8643,A4,1,[],[]
sample_000016434,-6686,-428,A4,1,[],[]
sample_000016697,2171,-4983,A4,1,[],[]
sample_000016829,-2926,4669,A4,1,[],[]
sample_000017351,5202,7997,A4,1,[],[]
sample_000017357,1188,7837,A4,1,[],[]
sample_000017362,-4474,7554,A4,1,[],[]
sample_000017489,6803,9893,A4,1,[],[]
